project,alpha,max_per_class,weight_method,accuracy,zeror,f1,NI,time_s
apache/accumulo,0.001,2000,uniform,0.6075,0.6503,0.5938,-0.1593,3388.0
apache/accumulo,0.01,100,similarity,0.4097,0.6503,0.4819,-0.7283,105.9
apache/accumulo,0.01,100,class,0.5438,0.6503,0.5052,-0.346,133.4
apache/accumulo,0.01,100,uniform,0.4149,0.6503,0.4834,-0.7131,172.5
apache/accumulo,0.01,200,similarity,0.512,0.6503,0.572,-0.4033,217.7
apache/accumulo,0.01,200,class,0.5818,0.6503,0.5048,-0.2241,312.3
apache/accumulo,0.01,200,uniform,0.5369,0.6503,0.5948,-0.3308,354.0
apache/accumulo,0.01,500,similarity,0.5503,0.6503,0.5846,-0.3209,494.4
apache/accumulo,0.01,500,class,0.6593,0.6503,0.5422,-0.0144,684.0
apache/accumulo,0.01,500,uniform,0.5539,0.6503,0.5798,-0.3111,761.4
apache/accumulo,0.01,1000,similarity,0.5788,0.6503,0.6045,-0.2397,906.8
apache/accumulo,0.01,1000,class,0.6517,0.6503,0.5334,-0.0353,1308.3
apache/accumulo,0.01,1000,uniform,0.5445,0.6503,0.5641,-0.3331,1469.4
apache/accumulo,0.01,2000,similarity,0.6011,0.6503,0.6174,-0.1773,1603.6
apache/accumulo,0.01,2000,class,0.6509,0.6503,0.5306,-0.0359,2378.4
apache/accumulo,0.01,2000,uniform,0.5755,0.6503,0.5853,-0.2468,2584.4
apache/accumulo,0.05,100,similarity,0.4613,0.6503,0.5342,-0.5509,51.9
apache/accumulo,0.05,100,class,0.5774,0.6503,0.5017,-0.2367,59.5
apache/accumulo,0.05,100,uniform,0.3999,0.6503,0.466,-0.7501,85.1
apache/accumulo,0.05,200,similarity,0.5007,0.6503,0.5646,-0.4382,135.9
apache/accumulo,0.05,200,class,0.5886,0.6503,0.5056,-0.2061,185.4
apache/accumulo,0.05,200,uniform,0.5217,0.6503,0.5754,-0.3728,208.2
apache/accumulo,0.05,500,similarity,0.546,0.6503,0.5799,-0.3338,305.1
apache/accumulo,0.05,500,class,0.6635,0.6503,0.5428,-0.0016,378.2
apache/accumulo,0.05,500,uniform,0.541,0.6503,0.5662,-0.3454,455.5
apache/accumulo,0.05,1000,similarity,0.5951,0.6503,0.629,-0.1848,560.1
apache/accumulo,0.05,1000,class,0.639,0.6503,0.5261,-0.0699,865.7
apache/accumulo,0.05,1000,uniform,0.5506,0.6503,0.5694,-0.3149,900.0
apache/accumulo,0.05,2000,similarity,0.5929,0.6503,0.6147,-0.2018,1015.7
apache/accumulo,0.05,2000,class,0.6405,0.6503,0.5249,-0.0657,1675.1
apache/accumulo,0.05,2000,uniform,0.5656,0.6503,0.578,-0.2746,1521.2
apache/accumulo,0.1,100,similarity,0.4198,0.6503,0.498,-0.6911,48.6
apache/accumulo,0.1,100,class,0.5783,0.6503,0.4985,-0.2341,50.1
apache/accumulo,0.1,100,uniform,0.3816,0.6503,0.4434,-0.7989,62.8
apache/accumulo,0.1,200,similarity,0.5067,0.6503,0.5728,-0.4175,96.1
apache/accumulo,0.1,200,class,0.5893,0.6503,0.5026,-0.2042,139.0
apache/accumulo,0.1,200,uniform,0.511,0.6503,0.5615,-0.4063,165.4
apache/accumulo,0.1,500,similarity,0.4881,0.6503,0.5258,-0.4925,282.4
apache/accumulo,0.1,500,class,0.651,0.6503,0.5333,-0.0363,287.9
apache/accumulo,0.1,500,uniform,0.4726,0.6503,0.5004,-0.5304,380.1
apache/accumulo,0.1,1000,similarity,0.5263,0.6503,0.5607,-0.3801,461.9
apache/accumulo,0.1,1000,class,0.6354,0.6503,0.5241,-0.0801,671.2
apache/accumulo,0.1,1000,uniform,0.5451,0.6503,0.5613,-0.3301,696.9
apache/accumulo,0.1,2000,similarity,0.5415,0.6503,0.5683,-0.3413,767.7
apache/accumulo,0.1,2000,class,0.6371,0.6503,0.5246,-0.0757,1201.9
apache/accumulo,0.1,2000,uniform,0.4829,0.6503,0.5007,-0.4998,1074.8
zkoss/zk,0.001,100,similarity,0.4747,0.7241,0.5267,-0.9081,111.3
zkoss/zk,0.001,100,class,0.7015,0.7241,0.681,-0.0921,141.8
zkoss/zk,0.001,100,uniform,0.5057,0.7241,0.5595,-0.7906,157.6
zkoss/zk,0.001,200,similarity,0.5336,0.7241,0.5855,-0.6982,253.0
zkoss/zk,0.001,200,class,0.724,0.7241,0.6757,-0.0129,286.4
zkoss/zk,0.001,200,uniform,0.5202,0.7241,0.5776,-0.7431,315.9
zkoss/zk,0.001,500,similarity,0.5533,0.7241,0.6001,-0.63,459.8
zkoss/zk,0.001,500,class,0.7304,0.7241,0.6564,0.0097,645.9
zkoss/zk,0.001,500,uniform,0.54,0.7241,0.5886,-0.6721,692.1
zkoss/zk,0.001,1000,similarity,0.5915,0.7241,0.6381,-0.4842,741.8
zkoss/zk,0.001,1000,class,0.7037,0.7241,0.6094,-0.085,889.7
zkoss/zk,0.001,1000,uniform,0.6268,0.7241,0.6526,-0.3535,932.6
zkoss/zk,0.001,2000,similarity,0.6183,0.7241,0.646,-0.3877,972.9
zkoss/zk,0.001,2000,class,0.7165,0.7241,0.6074,-0.04,1122.9
zkoss/zk,0.001,2000,uniform,0.6879,0.7241,0.6819,-0.1318,1190.6
zkoss/zk,0.01,100,similarity,0.5177,0.7241,0.5593,-0.7484,68.3
zkoss/zk,0.01,100,class,0.6978,0.7241,0.6593,-0.1058,76.8
zkoss/zk,0.01,100,uniform,0.4948,0.7241,0.5416,-0.8314,89.4
zkoss/zk,0.01,200,similarity,0.5596,0.7241,0.5876,-0.6045,164.0
zkoss/zk,0.01,200,class,0.7209,0.7241,0.6493,-0.0247,170.8
zkoss/zk,0.01,200,uniform,0.5254,0.7241,0.5706,-0.7315,190.0
zkoss/zk,0.01,500,similarity,0.5533,0.7241,0.5957,-0.6277,304.4
zkoss/zk,0.01,500,class,0.7219,0.7241,0.6356,-0.0218,418.9
zkoss/zk,0.01,500,uniform,0.5514,0.7241,0.5947,-0.6375,442.4
zkoss/zk,0.01,1000,similarity,0.617,0.7241,0.6418,-0.3898,409.1
zkoss/zk,0.01,1000,class,0.7174,0.7241,0.6156,-0.037,547.2
zkoss/zk,0.01,1000,uniform,0.6023,0.7241,0.631,-0.4465,614.4
zkoss/zk,0.01,2000,similarity,0.6507,0.7241,0.6614,-0.2681,584.3
zkoss/zk,0.01,2000,class,0.7157,0.7241,0.6074,-0.043,816.0
zkoss/zk,0.01,2000,uniform,0.6559,0.7241,0.6622,-0.2506,788.8
zkoss/zk,0.05,100,similarity,0.5485,0.7241,0.5927,-0.6422,32.3
zkoss/zk,0.05,100,class,0.7086,0.7241,0.6517,-0.0644,47.1
zkoss/zk,0.05,100,uniform,0.4889,0.7241,0.5394,-0.8626,52.5
zkoss/zk,0.05,200,similarity,0.5523,0.7241,0.5816,-0.6304,98.1
zkoss/zk,0.05,200,class,0.716,0.7241,0.634,-0.0428,108.0
zkoss/zk,0.05,200,uniform,0.5073,0.7241,0.5519,-0.7973,135.3
zkoss/zk,0.05,500,similarity,0.5684,0.7241,0.6067,-0.5756,169.1
zkoss/zk,0.05,500,class,0.7235,0.7241,0.6311,-0.0123,291.6
zkoss/zk,0.05,500,uniform,0.529,0.7241,0.5775,-0.721,248.3
zkoss/zk,0.05,1000,similarity,0.6192,0.7241,0.6438,-0.382,240.0
zkoss/zk,0.05,1000,class,0.718,0.7241,0.6114,-0.0345,384.4
zkoss/zk,0.05,1000,uniform,0.553,0.7241,0.5896,-0.6275,379.0
zkoss/zk,0.05,2000,similarity,0.6477,0.7241,0.6592,-0.279,316.4
zkoss/zk,0.1,100,similarity,0.5407,0.7241,0.5869,-0.6719,11.9
zkoss/zk,0.1,100,class,0.692,0.7241,0.6359,-0.1237,20.4
zkoss/zk,0.1,100,uniform,0.4432,0.7241,0.498,-1.0282,21.6
zkoss/zk,0.1,200,similarity,0.5345,0.7241,0.5674,-0.6949,26.1
zkoss/zk,0.1,200,class,0.7006,0.7241,0.616,-0.0991,42.6
zkoss/zk,0.1,200,uniform,0.4843,0.7241,0.5321,-0.8781,47.0
zkoss/zk,0.1,500,similarity,0.5476,0.7241,0.5859,-0.65,59.3
zkoss/zk,0.1,500,class,0.7248,0.7241,0.6397,-0.0057,127.1
zkoss/zk,0.1,500,uniform,0.4996,0.7241,0.5461,-0.8297,126.8
zkoss/zk,0.1,1000,similarity,0.5987,0.7241,0.6271,-0.4559,93.2
zkoss/zk,0.1,1000,class,0.7252,0.7241,0.6336,-0.005,210.2
zkoss/zk,0.1,1000,uniform,0.5187,0.7241,0.558,-0.7544,198.6
zkoss/zk,0.1,2000,similarity,0.6345,0.7241,0.6484,-0.3283,131.9
zkoss/zk,0.1,2000,class,0.7223,0.7241,0.6267,-0.016,345.8
zkoss/zk,0.1,2000,uniform,0.5851,0.7241,0.6087,-0.517,318.7
