project,merges,chunks,accuracy,zeror,f1,precision,recall,NI,strategy
CCI-MIT/XCoLab,333,9323,0.9495999999999999,0.5948599999999999,0.94758,0.94726,0.9495999999999999,0.8755599999999999,S1
CloudStack-extras/CloudStack-archive,128,1223,0.78248,0.37534,0.7803,0.79204,0.78248,0.6517600000000001,S1
TeamDev-Archive/OpenFaces,176,3914,0.93588,0.84954,0.93164,0.9305,0.93588,0.57386,S1
TelluIoT/ThingML,52,1130,0.92034,0.82828,0.9153600000000001,0.9154199999999999,0.92034,0.5361,S1
Unidata/thredds,130,1391,0.76854,0.5104,0.75162,0.7436400000000001,0.76854,0.52718,S1
alkacon/opencms-core,43,1726,0.8991800000000001,0.8285200000000001,0.8878999999999999,0.88538,0.8991800000000001,0.4121600000000001,S1
aosp-mirror/platform_frameworks_base,4500,84514,0.9733600000000001,0.83574,0.9724999999999999,0.9723599999999999,0.9733600000000001,0.83782,S1
apache/accumulo,1788,14848,0.8599,0.64934,0.85558,0.8566,0.8599,0.60052,S1
apache/lucene-solr,285,2326,0.69216,0.35814,0.6844599999999998,0.6845,0.69216,0.5204000000000001,S1
eucalyptus/eucalyptus,577,3153,0.72216,0.51756,0.7105400000000001,0.7077800000000001,0.72216,0.42406,S1
getrailo/railo,156,1001,0.74124,0.5824199999999999,0.72666,0.72396,0.74124,0.38038,S1
hibernate/hibernate-orm,145,2707,0.7672799999999999,0.53788,0.75858,0.75788,0.7672799999999999,0.49638,S1
hyphanet/fred,260,1425,0.68282,0.5038599999999999,0.67336,0.67134,0.68282,0.3607,S1
jgralab/jgralab,99,2537,0.9179999999999999,0.6716600000000001,0.9143799999999999,0.9149800000000001,0.9179999999999999,0.75032,S1
wro4j/wro4j,351,2215,0.71692,0.46769999999999995,0.70706,0.7094199999999999,0.71692,0.46819999999999995,S1
zkoss/zk,675,6694,0.9126,0.7245600000000001,0.90844,0.9084200000000001,0.9126,0.68274,S1
